step,train,val
25024,5.2156,5.3602
50016,4.9643,5.0856
75008,4.6279,4.8700
100000,4.3717,4.6704
125024,4.0529,4.5654
150016,3.9271,4.5341
175008,3.7358,4.5109
200000,3.5723,4.5368
225024,3.4881,4.5705
250016,3.0871,4.6407
275008,3.0797,4.7454
300000,2.6370,4.9220
325024,2.4995,5.1340
350016,2.3238,5.3124
375008,1.3431,5.4608
400000,1.1242,5.6486
425024,0.8640,5.8669
450016,0.7080,6.0832
475008,0.6877,6.2848
500000,0.5890,6.4902
525024,0.4829,6.6820
550016,0.4468,6.8598
575008,0.3722,7.0430
600000,0.3588,7.1871
